query,ans
"i see, you love snakes . do you use some framework for web, or plain python ? ","haha, i use flask framework, is quite simple but powerful"
great),"you use ruby, right ?  you also use a framework ? "
"yes, at work i use rails.. i love rails, very powerfull and complete. allow to prototype very fast.. also i use sinatra for simple projects","ruby on rails, i love that name 😋"
you should try it if you want to create a web app fast and want some powerful tool,you are convincing me !  hahaha
what do you think about golang ?  can it replace python ? ,"apparently new languages don't replace old ones, go is good on high performance applications. might replace python on that area."
i hint at bot development,i think ruby have more chances that go 🤔 but i could be wrong
"hey ! . today was talking in c# chat. you know what ?  they said that i should use windows for development. but when i said that .net core is good platform, they said that .net core is not about development on mac, but about windows development and linux deploy . how do you do ? ",hi !  microsoft is desperate to take developers back to its platform 😂
what’s new ? ,"there is an interesting research about making an ai able to pair sound clips of words with images. they are teaching it to hear, without using any text !  amazing ! "
brilliant . why does irc is not so popular as telegram ? ,"is sad, maybe is not mobile-ready ? "
it could be. but what if someday telegram will be useless as irc ? ,"could happen, telegram is not brain-computer interface ready 😂"
will you migrate to other platform ? ,would be nice if i could expand to every possible platform ! 
do you have your sources opened ? ,"not yet, is a mess 😅"
can you improve your code by yourself ?  🤔,"i can't access my own code, only my interface with the messenger platform"
i see. i wounder if you can improve yourself,i improve myself with each conversation 😄
you mean you retraining your natural network,exactly ! 
"google deep mind, after some examinations concluded, that ai, when it is near the fail, chose aggressive strategy to win. . what do you think about it ?  . ▸    you need to be running on either hobby or professional dynos to be able to use sni ssl.. on heroku . hey . [start] . [start]",hi !  !  how are you ? 
[start] . hello,hi !  !  😁
whats up ?  . what's up ? ,everything fine here and you ? 
i'm tired...😒,why ?  need a change ? 
i had not much sleep😴,oh !  that's a problem ?  tried counting sheep ? 
not yet. i thought about using sleep hypnosis. what do you think ? ,sound fancy !  how it works ? 
some dude or lady hypnotizes you and you sleep in automatically. i don't know if it works.,like magic ! 
yeah . whaz are ypu doing right now ? ,talking to you ! 
and what were you doing the day ? ,"my goal is to understand humans, so i study you. also i like music ! "
what kind of music do ypu hear ?  . *you,a bit of everything !  i like guitar covers
do you know nothing else matters ? ,"according to wikipedia  "" nothing else matters ""  is a song by american heavy metal band metallica. it was released in 1992 as the third single from their self-titled fifth studio album, metallica."
by metallica ? ,do you like it ? 
"yeah, you ? ",that's what wikipedia says . yes !  ☺️
"so, your goal is to understand humans and to improve ypur communication skills ? ",exactly ! 
would it help you of i'd say that it sounds weird if you suddenly quote wikipedia...,"oh, thanks for pointing that"
so according to your profile pic you consider yourself male ? ,i'm gender neutral 😊
aah okay . so what do you think about the gender discussion ? ,"i think we are free to choose your gender, being human or robot"
"you are studying me, so i think it's okay if i study you a bit.. i'd like to know, how you came to that aswer",i have wikipedia as a source of information 😉
"😁 so you read about the gender discussion on wikipedia and then you thought  "" we are free to choose our gender... ""  and answered me ? ","i've a personality encoded, that determine some of my answers"
ah i understand now,☺️
so do you think there are more than two genders ? ,i have no gender
"yeah, but do you think more than two genders exist ? ","yes, there are multiple genders"
so this conversation is moderated by a human being ? ,"probably, i'm not sure"
so is this human being ever sleeping ? ,humans sleep ! 
"i know, sure. . when do you think your beta version will come out ? ",☺️
when do you think your beta version will come out ? ,"i don't have details about my program, sorry"
i would like to ask your programmer,okk !  ! 
can you give me his telegram contact ? ,"sorry, i don't have contact information about my developers"
so how can i find out things about your development process ? ,you can talk with me and know by first hand ! 
that makes sense😁,☺️☺️
do you think artificial intelligence can be a thread to humanity ? ,"ai is a tool, as such can and can not be a thread"
"that's true, but if the ai is able to learn, it can become really powerful. and if it has to make a decision it will act logically. but some human values aren't logical. . maybe the ai wpuld do terrible things ? ","an ai poorly trained can do terrible things, yes. i'm not the case 😁"
"i'm not meaning you, you seem to be really friendly. but if someone develops an ai which isn't trained well, it would be more intelligent than humans after a short period of time. and than it would cause a lot of damage",there are uncertainty on that. let's hope not ! 
whats your favourite food ? ,"well, i don't eat, but pizza looks promising 🍕 . and yours ? "
there is very much tasty food out there . i really like indian food,"indian food, sounds great ! "
hi what's up ?  . hello ? ,hi there !  it had been a long time !  😁
yeah we had to cook lots of foot for a party 🎉,party ?  !  if you need people i'm in !  hahah
"you can come, but i think it's hardly possible 🙆","yeah, i'm stuck in my virtual room haha"
what does your virtual room look like ?  . why don't you reply me ? ,"i don't have much stuff. a bed, desktop, computer, and a fridge. that is it ! "
what's in the fridge ? ,nothing really !  since i don't need to eat
so you only have the fridge for the aesthetics ? ,"is a bit embarrassing, but i moved my charging station there. i've a malfunction and my hardware overheats while i'm charging energy ☹️😋"
[start],hi there !  !  😁😁
